,tokens,tone
0,서울 되련 뭣같 이돈 뭣같 지옥런 새끼 뭣같 산불 보러 간다 했으면서 멀쩡한 컨트롤 타워 버리고 침수 궁댕 뭉개 있던 새끼 뭣같음,NaN
1,지겹게 이어지던 산불 가득하다,-1.0
2,이번 뉴스 해도 파키스탄 지난 주간 폭우 사망 미국 켄터키주 폭우 사망 이란 폭우 사망 미국 서부 산불 계속 번지 작년 도를 찍고 전소 캐나다 튼시 올해,NaN
3,이상 화재 사람 죽어 도지사 떡볶이 먹방 찍고계셨던 말씀 셨습,-1.0
4,재난 닥치니 진짜 문재인 대통령 이낙연 총리 시절 그리워 죽겠음 그때 산불 났을 어떻게 했냐 다른 거도 비슷함 총리 상황 정리 브리핑 노란 잠바 입고 앉으셔서 산림청 소방청 강원도 있는 관계 기관 짚으며 현재,-1.0
5,너희 메시아 이재명 대통령 이었으면 달랐을까 재난 상황 꼴값 떨었던 이재명 판교 풍구 사고 이재명 어떻게 행동 했나 알아봐 쿠팡 화재 때문 소방관 죽어 했는지도 알아보고 코로나,-1.0
6,윤석열 울진 산불 재민 찾아 있더라도 헬기 타고 와야죠 다음 뉴스,NaN
7,속초 산불 속초시 전날 제주도 여행 떠났다가 당일 비행기 없어 다음 비행기 부랴부랴 올라온 바람직하지 않은 처신 비난 했던 언론 기억 그런데 서울 복판 물난리 기적 대면,-1.0
8,윤석열 폭우 출근 비난 하면서 이재명 쿠팡 화재 먹방 모른 이낙연 산불 재해 막은 아프리카 돼지 열병 막은 무시,-1.0
9,미드 뉴스룸 년전 나온 장면 지금 탄소 예산 기가톤 정도 남았고 대기 이산화탄소 농도 여기 하는 대량 이민 산불 폭풍 식량난 식수 부족 역병 같은 포스트 아포칼립스 세계 맛보고있네,-1.0
10,물난리 새끼 슬슬 이재명 이었으면 어쩌 하면서 드릉대 같은데 이재명 호로 새끼 쿠팡 화재 떡볶이 먹던 없고 추석 코로나 아웃브레이크 시작 되고 다음 여름 폭우 있었는,-1.0
11,쿠팡 대형 화재 깔깔 웃으면서 떡볶이 먹방 하는거 생생하게 봤는데 올려,0.3333333333333333
12,엄니 년차 공무원 재난 상황 비상 근무 없었음 여기는 와서 현재 침수 피해 없지만 조금 오거 산불 난다거나 하면 비상 근무 새벽 퇴근 새고 담날,-1.0
13,이재명 대통령 추첨 기간 동안 삼척 울진 산불 났을 방문 시간 주작 하던 위인,-1.0
14,이낙연 총리 시절 강원도 산불 저지를 위해 전국 모여드는 소방관 소방차 소방차 행렬 보고 감명 받았습니다,NaN
15,이재명 재난 대처 하는 방식 코로나 이후 재난 원금 노래 하며 각종 기금 예산 빼내어 수조 남김 정작 경기도 수해 개군 억원 지원 정부 재난 원금,-1.0
16,이재명 낙선 원인 황교익 먹방 촬영 황교익 차관 지위 경기 관광 공사 사장 임명 날라 갔다고 생각 한다 경기도 소방 최고 책임자 자기 지역 대형 화재 팽개 마산 내려가,0.0
17,윤석열 지난 대선 산불 현장 가서 헬기 타고 와야죠 하며 입털 사진 찍고 갔던거 생각나면 난다,NaN
18,민주당 정치인 산불 방지 예산 깎았는가 민주당 정치인 산불 났는데 퇴근 했는가,NaN
19,현재 우리나라 에탄올 화로 안전 기준 없습니다 소비자원 시중 판매 화로 호주 기준 따라 조사 결과 모두 부적합한 에탄올 불꽃 보이지 않는 특성 있습니다 사용자 불꽃,1.0
20,이천 화재 떡볶이 먹방 이재명 재난 대비 능력 인성 아예 없는 판명 되었다 소리 하지 이낙연,-0.3333333333333333
21,산불 나면 간다 했지 가지 가겠단 소리 했다,NaN
22,그래 우리 산불 나고 지진 날때 문재인 때문 장난 하자는 아니고 하면 윤석열 때문 지랄 하니까 빡치는거지,NaN
23,이재명 도지사 소방 업무 하는 없다 해놓고 정작 경기도 화재 났을 황교익 마산 볶에 처묵처묵,-1.0
24,울진 산불 서울 침수,NaN
25,이재명 됐으면 그랬다고 쿠팡 화재 이러고 있었던 까먹었음,-1.0
26,잦은 폭우 태풍 겪는 부산 사람 장마 끝나고나 내리고 나서부터 바퀴 출몰 심해져요 하수 조금 튀면 바로 씻어 야해요 여름 하수 바퀴벌레 천국 겨울 사는데요,NaN
27,서울 물난리 당했습니다 저희 건물 하수 역류 침수 되는 바람 저희 천장 무너져서 포장재 재료 잠겼네요 당분간 발송 어찌 될지는 내일 아침 정리 하며 다시 한번 확인 자세한,NaN
28,저희 어머니 강원도 사시는데 출근길 소리 나서 돌아보니 나무 무너져있었 대요 강원도 침수 산사태 피해 관심 가져주세요,-1.0
29,특보 웃긴게 강남 삼성 샌다고 보도 하더니 이후 대기업 오피스 삼성 이름 뺀다 전화 온듯,NaN
30,아니 뉴스특보 제보 받은 각종 침수 영상 보여주는게 맞아 이건 재미 아님 침수 지역 지도 표시 해주고 예보 알려주고 침수 황시 어케 해야하는지 대피 요령 챙겨 야하는거나 그런거 반복 해서 알려줘 야하는거 아닌가,1.0
31,퇴근 하면서 침수 시작 봤으면 돌렸어야지 새끼 소리 소주 한잔 생각 정신 놨었,NaN
32,어제 서울 물난리 집중호우 여파 강남역 침수 발생 하면서 강남역 일대 바퀴벌레 선생 출몰 하는 끔찍한 상황 발생 했습니다,-1.0
33,마이 케이팝 캘린더 퍼플 키스 개인 좋고 멤버 모든 아름답지만 하면 습한 장마 청량한 해변 가를 좋아하기 때문 청량가득 여성 시선 빼앗겨,1.0
34,침수,NaN
35,침수 됐던 지하철역 거의 복구 됐다니 밤새 얼마나 많은 애써주신 덕분 일까,NaN
36,진짜 이런 재밌다고 패러디 하는 이미지 모아서 바이럴 하는 보는 고통스럽다 동료 시민 반지하 죽고 터전 무너지고 차량 침수 되는데 재난 어떤 소로 거리 찾고 즐긴다,-1.0
37,아니 뉴스특보 보다 보니 웃긴다 지방 태풍 와서 무너져도 자막 덜렁 나오고 이었어서 지역 사람 남부 지방 태풍 피해 있는지도 몰랐던 적도 있는데 동네 비오니까 방송 끊고 특보,-1.0
38,트위터 진짜 재난 재해 알맞는 맨홀 뚜껑 조심해 거리 가까이 있지 침수 잡거나 짚으면서 걸어야지 그러면 뚜껑 날아간 맨홀 빠지거나 물살 쓸려가 물난리 피부병 전염병 조심해,-1.0
39,실시간 강남역 슈퍼맨 등장 아저씨 폭우 침수 강남역 복판 배수관 쌓여있는 쓰레기 맨손 건져 덕분 종아리 차올랐던 금방 내려감,NaN
40,침수 반지하 사람 죽은 고현 찾아가 구겨 앉아가며 구경 하다가 어제 퇴근 하면서 우리 아파트 언덕 있는데도 잠겼 하며 누구 물어보지 않은 자신 전날 퇴근,-1.0
41,침수 되는 봤지만 아니고 일도 아니니까 퇴근 했다 같은 대통령 하면 되는 아닌가 그것 피해 지역 현장,-1.0
42,이제야 한숨 돌릴 나서 풀어 보는 지하철 침수 버스 침수 차도 막힘 도로 막힘 막판 수영 해서 퇴근 시간 푼다 이제 정전 곁들인,-1.0
43,아픈 아기 키우는 친구 반지하 침수 하수 역류 걱정 정전 되면 아기 산소호흡 기를 두려워하고 있다 외래 진료 위해 호출 장애인 택시 배차 시간 걸렸고 목금 진료 재활,-1.0
44,알티 타네 강남 고급 아파트 침수 피해 입었는데 불공평 이런 얘기 나오는 화남 조금 생각 해봐도 알잖아요 반지하 지하 사는 사람 거리 시장 장사 하는 사람 강남 고급 아파트 사는 사람 같은,0.3333333333333333
45,맞는 입니다 덧붙이자면 경험 운전 도로 물밑 안보 여요 그냥 침수 도로 피하 제일 좋습니다 거기 자작하게 물이 고인 건지 낭떠러지 물이 건지 없어요 있어요,NaN
46,여러분 그거 아시나요 서울 물난리 강남 정전 강남역 침수 실트 오늘 내린 비는 내일 모레 내릴 예고편 랍니 참고 러브 다이브 하러가겠음 사진 시계 방향 오늘 내일 모레,NaN
47,왔는데 다음 대중교통 말짱해졌다 천재지변 인력 막은 간밤 얼마나 힘드셨을까 게다가 지하철 청소 거의 여자 하시잖아 좋게도 침수 구간 출퇴근 하지만 마음 무겁,NaN
48,반지하 침수 사고 현장 찾은 대통령 오세훈 서울시장 출처 뉴스 네이버 뉴스 카메라 의식 하지,NaN
49,지하철 호선 운영 오늘 모두 정상화 반면 민간 운영 하는 호선 일부 구간 운영 되고 상당수 침수 복구 있는 여러분 지금 민영화 결론 보고 계십니다 운영 최대,NaN
50,침수 되면 누구 수리 복구 호텔 잡아 지낼 있고 쓰게 소지품 새로 여유 있는데 누구 당장 곳도 정부 마련 주지 않으면 없고 생필 품도 한두 새로 사는 부담,0.0
51,뉴욕 폭설 경보 예상 된다고 뉴스 나온 병원 출퇴근 어려운 직원 위해 호텔 빌려 숙식 제공 했고 출근 직원 날씨 와줘서 고맙다며 병원 매점 이용권 매점 자체 싸서,-1.0
52,퇴근 하면서 보니 벌써 다른 아래쪽 아파트 침수 시작 되더라 아니 퇴근 하지 대본 컨트롤 하셔야지 기어 들어가세요 반지하 죽어도 자긴 지대 비싼 아파트 산다 자랑,-1.0
