,0,,,,
0,뭣같,0,,,
4,지옥런,0,,,
5,새끼,0,,,
6,산불,0,,,
13,버리고,0,,,
14,침수,0,,,
18,뭣같음,0,,,
19,지겹게,0,,,
8,폭우,0,,,
9,사망,0,,,
44,화재,0,,,
46,죽어,0,,,
53,재난,0,,,
54,닥치니,0,,,
60,죽겠음,0,,,
90,꼴값,0,,,
94,사고,0,,,
103,코로나,0,,,
101,없어,0,,,
100,부랴부랴,0,,,
105,않은,0,,,
133,물난리,0,,,
139,재해,0,,,
143,열병,0,,,
144,무시,0,,,
164,식량난,0,,,
166,부족,0,,,
167,역병,0,,,
179,없고,0,,,
196,비상,0,,,
198,없었음,0,,,
1,피해,0,,,
0,없지만,0,,,
40,수해,0,,,
47,낙선,0,,,
98,부적합한,0,,,
301,않는,0,,,
310,없는,0,,,
303,지진,0,,,
308,지랄,0,,,
330,빡치는거지,0,,,
330,없다,0,,,
340,까먹었음,0,,,
361,당했습니다,0,,,
364,역류,0,,,
368,무너져서,0,,,
388,무너져있었,0,,,
403,뺀다,0,,,
447,끔찍한,0,,,
459,습한,0,,,
467,빼앗겨,0,,,
486,고통스럽다,0,,,
490,죽고,0,,,
490,무너지고,0,,,
504,무너져도,0,,,
530,빠지거나,0,,,
533,피부병,0,,,
534,전염병,0,,,
541,쓰레기,0,,,
548,죽은,0,,,
567,한숨,0,,,
581,아픈,0,,,
585,걱정,0,,,
589,두려워하고,0,,,
604,불공평,0,,,
607,화남,0,,,
631,낭떠러지,0,,,
630,없어요,0,,,
654,천재지변,0,,,
657,힘드셨을까,0,,,
667,무겁,0,,,
705,폭설,0,,,
730,죽어도,0,,,
748,장마철,0,,,
758,감기,0,,,
761,논란,0,,,
777,고생,0,,,
780,문제,0,,,
800,어렵거나,0,,,
801,불안하신,0,,,
807,어려워,0,,,
830,소름,0,,,
838,충격,0,,,
848,시바,0,,,
850,가짜,0,,,
857,범람,0,,,
865,힘든,0,,,
874,힘들다고,0,,,
875,호소,0,,,
878,없으시고,0,,,
879,늦어서,0,,,
898,숨진,0,,,
900,항의,0,,,
904,죄송하다거나,0,,,
915,당했는데,0,,,
935,안타까,0,,,
939,없다는,0,,,
978,힘드냐,0,,,
980,피해자,0,,,
981,유가족,0,,,
997,폭염,0,,,
1014,존나,0,,,
1008,아니잖냐,0,,,
1053,급류,0,,,
1055,익사,0,,,
1060,유실,0,,,
1061,딱하네,0,,,
1069,않음,0,,,
1097,위험,0,,,
1105,없애거나,0,,,
1118,죽빵,0,,,
1108,통제,0,,,
1133,가해,0,,,
1136,빡쳐서,0,,,
1139,불가,0,,,
1140,개뿔,0,,,
1150,없어서,0,,,
1154,무리하게,0,,,
1156,불구,0,,,
1160,손해,0,,,
1174,어렵습니다,0,,,
1183,안타까웠습니다,0,,,
1192,시발,0,,,
1201,죽으려고,0,,,
1210,공격,0,,,
1212,삭감,0,,,
1213,쌍욕,0,,,
1239,덥고,0,,,
1240,하아,0,,,
1243,멸망,0,,,
1248,침울하게,0,,,
1266,거짓,0,,,
1271,실종,0,,,
1300,없네,0,,,
1314,없도록,0,,,
1350,없냐,0,,,
1373,없으니,0,,,
1381,습하고,0,,,
1382,더워요,0,,,
1394,슈펄,0,,,
1413,멸망할,0,,,
1430,극심한,0,,,
1483,않어요,0,,,
1509,미치겠다,0,,,
1516,죽음,0,,,
1520,미친,0,,,
1526,불매,0,,,
1537,없었으면,0,,,
1540,없으시길,0,,,
1563,무서운,0,,,
1583,없구,0,,,
1590,금지,0,,,
1604,아쉽지만,0,,,
1632,미쳤다,0,,,
1654,저런,0,,,
1671,고립,0,,,
1681,실패한,0,,,
1720,굶었,0,,,
1736,화나고,0,,,
1742,없음,0,,,
1751,죽이겠다고,0,,,
1766,디질것,0,,,
1782,없었죠,0,,,
1873,없었다고,0,,,
1888,아니냐,0,,,
1895,어떡해,0,,,
1924,먹통,0,,,
1933,고통스럽습니다,0,,,
1951,미치겠음,0,,,
1953,아쉬운,0,,,
1963,무서울,0,,,
1975,죽었어,0,,,
1978,죽었냐고,0,,,
1980,죽는다면,0,,,
2020,잘못이라며,0,,,
2032,돌아가셨대,0,,,
2033,속상하다,0,,,
2067,숨져,0,,,
2077,죽여야,0,,,
2093,어휴,0,,,
2096,폐쇄하,0,,,
2100,꼼짝,0,,,
2187,아니었,0,,,
2193,씨바,0,,,
2242,싫으면,0,,,
2243,꺼져,0,,,
2258,숨졌습니다,0,,,
2275,빡친거아,0,,,
2280,없던,0,,,
2283,시달리는,0,,,
2375,개판,0,,,
10,멀쩡한,1,,,
1,가득하다,1,,,
61,그리워,1,,,
104,바람직하지,1,,,
187,깔깔,1,,,
188,웃으면서,1,,,
7,감명,1,,,
63,최고,1,,,
87,안전,1,,,
391,관심,1,,,
394,웃긴게,1,,,
455,좋고,1,,,
458,아름답지만,1,,,
460,청량한,1,,,
463,좋아하기,1,,,
464,청량가득,1,,,
471,복구,1,,,
475,많은,1,,,
477,덕분,1,,,
480,재밌다고,1,,,
499,즐긴다,1,,,
500,웃긴다,1,,,
500,조심해,1,,,
536,슈퍼맨,1,,,
614,맞는,1,,,
605,좋습니다,1,,,
633,있어요,1,,,
653,말짱해졌다,1,,,
660,좋게도,1,,,
718,고맙다며,1,,,
735,자랑,1,,,
759,조심,1,,,
779,대단하신데,1,,,
780,감사하고,1,,,
809,원하는,1,,,
815,살다,1,,,
859,조심하시고,1,,,
860,무사,1,,,
864,친절하셨고,1,,,
867,위안,1,,,
870,조치,1,,,
870,좋겠다고,1,,,
905,위로,1,,,
954,공감,1,,,
957,노력,1,,,
963,통과,1,,,
1003,웃김,1,,,
1005,호의호식,1,,,
1084,깨끗하게,1,,,
1089,정비,1,,,
1311,조심하세요,1,,,
1316,안녕하셔요,1,,,
1318,안전한,1,,,
1322,힘나는,1,,,
1332,용맹함과,1,,,
1387,웃고,1,,,
1388,다정하게,1,,,
1406,조심하시고요,1,,,
1471,조심하시구,1,,,
1472,안전하셨음,1,,,
1473,좋겠어여,1,,,
1504,좋더라,1,,,
1538,좋겠다,1,,,
1561,몸조심,1,,,
1567,안전하게,1,,,
1568,살아있어요,1,,,
1587,좋은데,1,,,
1592,좋음,1,,,
1595,행복한,1,,,
1606,쵝오,1,,,
1614,기대했더니,1,,,
1631,빠져드는,1,,,
1653,있었을,1,,,
1713,씬나,1,,,
1714,잼있다,1,,,
1725,낭만,1,,,
1768,건강하고,1,,,
1771,조심하구,1,,,
1772,조심하기,1,,,
1779,있다구요,1,,,
1785,있나요,1,,,
1969,무사하시,1,,,
1973,살릴수,1,,,
1990,조심하시오,1,,,
2003,맛있는거,1,,,
2027,있어야죠,1,,,
2142,감동,1,,,
2145,고맙다고,1,,,
2188,알았습니다,1,,,
2297,귀엽지,1,,,
0,서울,,,,
1,되련,,,,
3,이돈,,,,
7,보러,,,,
8,간다,,,,
9,했으면서,,,,
11,컨트롤,,,,
10,타워,,,,
15,궁댕,,,,
16,뭉개,,,,
17,있던,,,,
0,이어지던,,,,
0,이번,,,,
3,뉴스,,,,
4,해도,,,,
5,파키스탄,,,,
6,지난,,,,
7,주간,,,,
30,미국,,,,
31,켄터키주,,,,
30,이란,,,,
33,서부,,,,
34,계속,,,,
35,번지,,,,
36,작년,,,,
37,도를,,,,
38,찍고,,,,
39,전소,,,,
40,캐나다,,,,
41,튼시,,,,
40,올해,,,,
43,이상,,,,
45,사람,,,,
47,도지사,,,,
48,떡볶이,,,,
49,먹방,,,,
50,찍고계셨던,,,,
51,말씀,,,,
50,셨습,,,,
55,진짜,,,,
56,문재인,,,,
57,대통령,,,,
58,이낙연,,,,
59,총리,,,,
60,시절,,,,
63,그때,,,,
64,났을,,,,
65,어떻게,,,,
66,했냐,,,,
67,다른,,,,
68,거도,,,,
69,비슷함,,,,
70,상황,,,,
71,정리,,,,
70,브리핑,,,,
73,노란,,,,
74,잠바,,,,
75,입고,,,,
76,앉으셔서,,,,
77,산림청,,,,
78,소방청,,,,
79,강원도,,,,
80,있는,,,,
81,관계,,,,
80,기관,,,,
83,짚으며,,,,
84,현재,,,,
85,너희,,,,
86,메시아,,,,
87,이재명,,,,
88,이었으면,,,,
89,달랐을까,,,,
91,떨었던,,,,
90,판교,,,,
93,풍구,,,,
95,행동,,,,
96,했나,,,,
97,알아봐,,,,
98,쿠팡,,,,
99,때문,,,,
100,소방관,,,,
101,했는지도,,,,
100,알아보고,,,,
104,윤석열,,,,
105,울진,,,,
106,재민,,,,
107,찾아,,,,
108,있더라도,,,,
109,헬기,,,,
110,타고,,,,
111,와야죠,,,,
110,다음,,,,
113,속초,,,,
114,속초시,,,,
115,전날,,,,
116,제주도,,,,
117,여행,,,,
118,떠났다가,,,,
119,당일,,,,
100,비행기,,,,
103,올라온,,,,
106,처신,,,,
107,비난,,,,
108,했던,,,,
109,언론,,,,
130,기억,,,,
131,그런데,,,,
130,복판,,,,
134,기적,,,,
135,대면,,,,
136,출근,,,,
137,하면서,,,,
138,모른,,,,
140,막은,,,,
141,아프리카,,,,
140,돼지,,,,
145,미드,,,,
146,뉴스룸,,,,
147,년전,,,,
148,나온,,,,
149,장면,,,,
150,지금,,,,
151,탄소,,,,
150,예산,,,,
153,기가톤,,,,
154,정도,,,,
155,남았고,,,,
156,대기,,,,
157,이산화탄소,,,,
158,농도,,,,
159,여기,,,,
160,하는,,,,
161,대량,,,,
160,이민,,,,
163,폭풍,,,,
165,식수,,,,
168,같은,,,,
169,포스트,,,,
170,아포칼립스,,,,
171,세계,,,,
170,맛보고있네,,,,
173,슬슬,,,,
174,어쩌,,,,
175,드릉대,,,,
176,같은데,,,,
177,호로,,,,
178,먹던,,,,
180,추석,,,,
181,아웃브레이크,,,,
180,시작,,,,
183,되고,,,,
184,여름,,,,
185,있었는,,,,
186,대형,,,,
189,하는거,,,,
190,생생하게,,,,
191,봤는데,,,,
190,올려,,,,
193,엄니,,,,
